algorithm,date,balance
simpleaverage,2017-03-15,-51.41
simpleaverage,2017-03-16,73.56
simpleaverage,2017-03-17,-52.33
simpleaverage,2017-03-20,35.36
simpleaverage,2017-03-21,-3.97
simpleaverage,2017-03-22,-96.12
simpleaverage,2017-03-23,70.91
simpleaverage,2017-03-24,32.82
simpleaverage,2017-03-27,-79.74
simpleaverage,2017-03-28,-25.78
simpleaverage,2017-03-29,12.37
simpleaverage,2017-03-30,-7.05
simpleaverage,2017-03-31,-38.39
simpleaverage,2017-04-03,8.38
simpleaverage,2017-04-04,50.93
simpleaverage,2017-04-05,4.24
simpleaverage,2017-04-06,-39.20
simpleaverage,2017-04-07,106.36
simpleaverage,2017-04-10,-35.43
simpleaverage,2017-04-11,27.53
simpleaverage,2017-04-12,31.88
simpleaverage,2017-04-13,-42.99
simpleaverage,2017-04-14,178.99
simpleaverage,2017-04-17,32.00
simpleaverage,2017-04-18,26.80
simpleaverage,2017-04-19,1.22
simpleaverage,2017-04-20,51.90
simpleaverage,2017-04-21,-84.33
simpleaverage,2017-04-24,37.50
simpleaverage,2017-04-25,72.58
simpleaverage,2017-04-26,43.91
simpleaverage,2017-04-27,3.07
simpleaverage,2017-04-28,0.38
simpleaverage,2017-05-01,23.55
simpleaverage,2017-05-02,41.81
simpleaverage,2017-05-03,10.91
simpleaverage,2017-05-04,-22.50
simpleaverage,2017-05-05,85.87
simpleaverage,2017-05-08,-65.22
simpleaverage,2017-05-09,-62.31
simpleaverage,2017-05-10,-43.87
simpleaverage,2017-05-11,-86.90
simpleaverage,2017-05-12,-60.61
simpleaverage,2017-05-15,-102.67
simpleaverage,2017-05-16,-9.78
simpleaverage,2017-05-17,-83.55
simpleaverage,2017-05-18,-9.91
simpleaverage,2017-05-19,60.69
simpleaverage,2017-05-22,39.79
simpleaverage,2017-05-23,24.16
